Codigo;Produto
60011;PONTEIRO SEXTAVADO 250 mm COM PROTEÇÃO DE BORRACHA
60012;PONTEIRO SEXTAVADO 300 mm COM PROTEÇÃO DE BORRACHA
60013;PONTEIRO SEXTAVADO 350 mm COM PROTEÇÃO DE BORRACHA
60014;TALHADEIRA SEXTAVADA 250 mm COM PROTEÇÃO DE BORRACHA
60015;TALHADEIRA SEXTAVADA 300 mm COM PROTEÇÃO DE BORRACHA
60016;TALHADEIRA SEXTAVADA 350 mm COM PROTEÇÃO DE BORRACHA
60212;TAPETE DE BORRACHA P/ CORTADOR DE PASTILHA - MULT
60279;"PONTEIRO SEXTAVADO 200 mm 8"""
60280;"PONTEIRO SEXTAVADO 250 mm 10"""
60281;"PONTEIRO SEXTAVADO 300 mm 12"""
60282;"TALHADEIRA SEXTAVADA 200 mm 8"""
60283;"TALHADEIRA SEXTAVADA 250 mm 10"""
60284;"TALHADEIRA SEXTAVADA 300 mm 12"""
60309;ESCALA METRICA - 2m
60334;REBITE DE REPUXO EM ALUMINIO 2,4 x 6 mm c/ 50 PÇ
60335;REBITE DE REPUXO EM ALUMINIO 2,4 x 8 mm c/ 50 PÇ
60336;REBITE DE REPUXO EM ALUMINIO 2,4 x 10 mm c/ 50 PÇ
60337;REBITE DE REPUXO EM ALUMINIO 3,2 x 8 mm c/ 50 PÇ
60338;REBITE DE REPUXO EM ALUMINIO 3,2 x 10 mm c/ 50 PÇ
60339;REBITE DE REPUXO EM ALUMINIO 3,2 x 12 mm c/ 50 PÇ
60342;REBITE DE REPUXO EM ALUMINIO 4 x 8 mm c/ 50 PÇ
60647;"ADAPTADOR PARA TRIPE 5/8"" x 1/4"""
60669;"DISCO DE DESBASTE FLAP 4.1/2"" - 115 mm CS-BP G40"
60708;"COLHER P/ PEDREIRO KAEF CABO PLÁSTICO RETA 07"""
60709;"COLHER P/ PEDREIRO KAEF CABO PLÁSTICO RETA 08"""
60710;"COLHER P/ PEDREIRO KAEF CABO PLÁSTICO RETA 09"""
60711;"COLHER P/ PEDREIRO KAEF CABO PLÁSTICO OVAL 07"""
60714;"COLHER P/ PEDREIRO KAEF CABO PLÁSTICO OVAL 08"""
60715;"COLHER P/ PEDREIRO KAEF CABO PLÁSTICO OVAL 09"""
60766;LIMITADOR LATERAL CORTADORES
60778;RODIZIO COM FREIO - SISTEMA DE TRANSPORTE INFINITY
60779;VENTOSA - SISTEMA DE MOVIMENTAÇÃO INFINITY
60784;JOGO ESPUMA CORTADOR MASTER 75/90
60829;"MANGUEIRA NÍVEL 5/16"" x 1,3 mm  - 50 m"
60830;"MANGUEIRA NÍVEL 5/16""x1,3mm  - 20 m"
60834;RODIZIO SEM FREIO - SISTEMA DE TRANSPORTE INFINITY
60840;SERRA COPO DIAMANTADA PORCELANATO 4 mm KAEF
60841;SERRA COPO DIAMANTADA PORCELANATO 5 mm KAEF
60842;SERRA COPO DIAMANTADA PORCELANATO 6 mm KAEF
60843;SERRA COPO DIAMANTADA PORCELANATO 7 mm KAEF
60844;SERRA COPO DIAMANTADA PORCELANATO 8 mm KAEF
60845;SERRA COPO DIAMANTADA PORCELANATO 9 mm KAEF
60846;SERRA COPO DIAMANTADA PORCELANATO 10 mm KAEF
60847;SERRA COPO DIAMANTADA PORCELANATO 11 mm KAEF
60849;SERRA COPO DIAMANTADA PORCELANATO 12 mm KAEF
60855;SERRA COPO DIAMANTADA PORCELANATO 13 mm KAEF
60891;SERRA COPO DIAMANTADA PORCELANATO 14 mm KAEF
60892;SERRA COPO DIAMANTADA PORCELANATO 20 mm KAEF
60893;SERRA COPO DIAMANTADA PORCELANATO 25 mm KAEF
60895;SERRA COPO DIAMANTADA PORCELANATO 32 mm KAEF
60896;SERRA COPO DIAMANTADA PORCELANATO 35 mm KAEF
60897;TRENA AÇO 3 m x 15 mm - KAEF
60898;TRENA AÇO 5 m x 18 mm - KAEF
60899;TRENA AÇO 7,5 m x 24 mm - KAEF
60901;SERRA COPO DIAMANTADA PORCELANATO 40 mm KAEF
60936;"ARCO DE SERRA PREMIUM 12"" ( 300 mm )"
60940;DISCO DIAMANTADO SEGMENTADO - 110 mm KAEF
60941;DISCO DE DE CORTE DIAMANTADO CONTINUO 110 mm KAEF
60942;DISCO DE CORTE DIAMANTADO TURBO 110 mm KAEF
60943;LAMINA DE SERRA CIRCULAR P/ MADEIRA 24 DENTES Ø 110 mm KAEF
60951;SERRA COPO DIAMANTADA PORCELANATO 45 mm KAEF
60952;SERRA COPO DIAMANTADA PORCELANATO 50 mm KAEF
60953;SERRA COPO DIAMANTADA PORCELANATO 51 mm KAEF
60954;SERRA COPO DIAMANTADA PORCELANATO 70 mm KAEF
61106;SERRA COPO DIAMANTADA PORCELANATO 76 mm KAEF
61107;SERRA COPO DIAMANTADA PORCELANATO 85 mm KAEF
61108;SERRA COPO DIAMANTADA PORCELANATO 102 mm KAEF
61114;SERRA COPO DIAMANTADA PORCELANATO 110 mm KAEF
61115;SERRA COPO DIAMANTADA Ø 115 mm KAEF
61151;REBITE DE REPUXO EM ALUMÍNIO 2,4 x 6 mm c/100pçs
61154;REBITE DE REPUXO EM ALUMÍNIO 3,2 x 6 mm c/100pçs
61157;REBITE DE REPUXO EM ALUMÍNIO 3,2 x 12 mm c/100pçs
61161;REBITE DE REPUXO EM ALUMÍNIO 3,2 x 25 mm c/100pçs
61166;REBITE DE REPUXO EM ALUMÍNIO 4 x 22 mm c/ 50 PÇ
61167;REBITE DE REPUXO EM ALUMÍNIO 4 x 25 mm c/ 50 PÇ
61170;REBITE DE REPUXO EM ALUMÍNIO 4,8 x 22 mm c/ 50 PÇ
61172;REBITE DE REPUXO EM ALUMÍNIO 6,4 x 12 mm c/ 50 PÇ
61173;REBITE DE REPUXO EM ALUMÍNIO 6,4 x 16 mm c/ 50 PÇ
61174;REBITE DE REPUXO EM ALUMÍNIO 6,4 x 22 mm c/ 50 PÇ
61175;REBITE DE REPUXO EM ALUMÍNIO 6,4 x 25 mm c/ 50 PÇ
61263;"BROCA PILOTO 1/4"" x 75 mm P/ SERRA COPO AÇO RAPIDO"
61264;"BROCA PILOTO 1/4"" x 90 mm P/ SERRA COPO DENTE DE METAL DURO"
61284;SERRA COPO DIAMANTADA PORCELANATO 150 mm KAEF
61442;MEDIDOR DE DISTÂNCIA A LASER MDC - 40
61443;MEDIDOR DE DISTÂNCIA  A LASER MDC - 60
61473;LIXA A SECO CORTAG AS213 080
61474;LIXA A SECO CORTAG AS213 100
61475;LIXA A SECO CORTAG AS213 120
61477;LIXA A SECO CORTAG AS213 180
61478;LIXA A SECO CORTAG AS213 220
61479;LIXA A SECO CORTAG AS213 240
61480;LIXA A SECO CORTAG AS213 280
61481;LIXA A SECO CORTAG AS213 320
61482;LIXA A SECO CORTAG AS213 360
61483;LIXA A SECO CORTAG AS213 400
61497;LIXA D´AGUA PLUS CORTAG DA420 060
61498;LIXA D´AGUA PLUS CORTAG DA420 080
61504;LIXA D´AGUA PLUS CORTAG DA420 240
61505;LIXA D´AGUA PLUS CORTAG DA420 280
61506;LIXA D´AGUA PLUS CORTAG DA420 320
61507;LIXA D´AGUA PLUS CORTAG DA420 360
61508;LIXA D´AGUA PLUS CORTAG DA420 400
61509;LIXA D´AGUA PLUS CORTAG DA420 500
61620;DISCO DIAMANTADO D.200xD.25.4 mm PROFISSIONAL BEST QUALITY
61670;"DISCO DE DESBASTE FLAP 7"" - 180 mm CS-BP G40"
61682;DISCO DE CORTE DIAMANTADO TURBO PORCELANATO 105 mm KAEF
61698;"BROCA PILOTO Ø1/4"" P/ SERRA COPO PORCELANATO"
61730;DISCO DE DESBASTE DIAMANTADO TURBO 115 mm KAEF
61732;DISCO DE DESBASTE DIAMANTADO SEGMENTADO 115 mm KAEF
61734;"DISCO DE DESBASTE FLAP 7"" - 180 mm CS-BP G60"
61735;"DISCO DE DESBASTE FLAP 7"" - 180 mm CS-BP G80"
61736;"DISCO DE DESBASTE FLAP 7"" - 180 mm CS-BP G120"
61751;LAMINA DE SERRA CIRCULAR P/ MADEIRA 24 DENTES Ø 185 mm KAEF
61752;LAMINA DE SERRA CIRCULAR P/ MADEIRA 36 DENTES Ø 185 mm KAEF
61757;LAMINA DE SERRA CIRCULAR P/ MADEIRA 36 DENTES Ø 110 mm KAEF
61785;ALICATE REBITADOR MANUAL 4 PONTAS KAEF
61807;RASPADOR RETO 65 mm x 41 mm P/ DRYWALL/GESSO
61863;ALICATE SEPARADOR INFINITY 0-15mm
61890;"COLHER P/ PEDREIRO RETANGULAR SOLDADA  6"""
62014;KIT MARMORARIA
62017;"DISCO DE CORTE INOX 115 mm x 1,0 mm - 4.1/2"" X 3/64"" X 7/8"""
62039;"DISCO DE DESBASTE FLAP 4.1/2"" - 115 mm OZ-BF G40"
62040;"DISCO DE DESBASTE FLAP 4.1/2"" - 115 mm OZ-BF G60"
62041;"DISCO DE DESBASTE FLAP 4.1/2"" - 115 mm OZ-BF G80"
62042;"DISCO DE DESBASTE FLAP 4.1/2"" - 115 mm OZ-BF G120"
62043;"DISCO DE DESBASTE FLAP 7"" - 180 mm OZ-BF G40"
62044;"DISCO DE DESBASTE FLAP 7"" - 180 mm OZ-BF G60"
62045;"DISCO DE DESBASTE FLAP 7"" - 180 mm OZ-BF G80"
62046;"DISCO DE DESBASTE FLAP 7"" - 180 mm OZ-BF G120"
62088;KIT CORTADORES ELÉTRICOS\t\t\t\t
62162;JOGO DE ESCOVAS DE AÇO P/FURADEIRA C/ 3 PEÇAS KAEF
62366;VENTOSA MANUAL DE SUCÇÃO C/ MALETA - CORTAG
62405;ESPAÇADOR NIVELADOR 1,0 mm SMART C/ 500 PÇS
62408;ESPAÇADOR NIVELADOR 1,5 mm SMART C/ 500 PÇS
62411;ESPAÇADOR NIVELADOR 2,0 mm ECO (VERDE) - C/500 PÇS
62412;ESPAÇADOR NIVELADOR 2,0 mm SMART C/ 500 PÇS
62415;ESPAÇADOR NIVELADOR 3,0 mm SMART C/ 500 PÇS
62588;COLHER P/ PEDREIRO CABO DI Ø10mm REDONDA 90 x 128 mm
62709;BALDE - CUNHA TRADICIONAL 500 PÇS
62740;CARRINHO DE MÃO 50L CAÇAMBA QUAD. VERMELHO
62741;CARRINHO DE MÃO 67L FORT VERMELHO C/ BUCHA
62776;ARO (PNEU/CÂMARA) P/ CARRINHO DE MÃO VERMELHO - 45/50L
62778;PÉS P/ CARRNHO DE MÃO VERMELHO - 45/50L (PAR)
62779;SUPORTE CAÇAMBA P/ CARRINHO DE MÃO VERMELHO - 45/50L  (PAR)
62780;SUPORTE EIXO P/ CARRINHO DE MÃO VERMELHO - 45/50L (PAR)
62781;EIXO P/ CARRINHO DE MÃO VERMELHO - 45/50L
62782;JOGO PARAFUSOS P/ CARRINHO DE MÃO VERMELHO - 45/50L
62783;PUNHO PRETO P/ CARRINHO DE MÃO (PAR)
62784;TRAVESSA CABO P/ CARRINHO DE MÃO VERMELHO - 45/50L
62785;MÃO FRANCESA P/ CARRINHO DE MÃO VERMELHO - 45/50L (PAR)
62786;PÉS P/ CARRINHO DE MÃO VERMELHO - 67L (PAR)
62787;SUPORTE CAÇAMBA P/ CARRINHO DE MÃO VERMELHO - 67L (PAR)
62788;SUPORTE EIXO P/ CARRINHO DE MÃO VERMELHO - 67L (PAR)
62789;EIXO P/ CARRINHO DE MÃO VERMELHO - 67L
62790;JOGO PARAFUSOS P/ CARRINHO DE MÃO VERMELHO - 67L
62791;TRAVESSA CABO P/ CARRINHO DE MÃO VERMELHO - 67L
62792;MÃO FRANCESA P/ CARRINHO DE MÃO VERMELHO - 67L (PAR)
62815;BROCA C/ ENCAIXE SDS PLUS P/ CONCRETO 8mm x 250mm x 350mm
62820;KIT MONTAGEM P/ CARRINHO DE MÃO VERMELHO - 45L
62822;CABO VERMELHO 0,80 P/ CARRINHO DE MÃO VERMELHO - 45L
62847;NÍVEL LASER VERDE 3D PRÓ NLC847 - 12 LINHAS
62977;ESPÁTULA APLICADORA P/ REJUNTE
63021;CORDA TRANÇADA COLORIDA PET 8 mm CARRETEL 157 m
63022;CORDA TRANÇADA COLORIDA PET 10 mm CARRETEL 113 m
63023;CORDA TRANÇADA COLORIDA PET 12 mm CARRETEL 73 m
63024;CORDA TRANÇADA COLORIDA PET 14 mm CARRETEL 40 m
63240;PROTETOR DE PISO 25m² - CORTAG
